# folder	repo	title
gettysburg-hotel	gettysburg-hotel-theme	The Lantern & Laurel Inn
hotel-cupola-field	hotel-cupola-field-theme	The Cupola & Field Hotel
gettysburg-restaurant	gettysburg-restaurant-theme	Field & Musket Tavern
restaurant-cannon-and-crumb	restaurant-cannon-and-crumb-theme	Cannon & Crumb
gettysburg-retail	gettysburg-retail-theme	Diamond & Ridge Mercantile
retail-ridgeline-outfitters	retail-ridgeline-outfitters-theme	Ridgeline Outfitters
tour-hallowed-ground-tours	tour-hallowed-ground-tours-theme	Hallowed Ground Battlefield Tours
tour-first-shot-food-tours	tour-first-shot-food-tours-theme	First Shot Food & History Tours
realtor-ridgeline-realty	realtor-ridgeline-realty-theme	Ridgeline Realty
realtor-keystone-homes-and-land	realtor-keystone-homes-and-land-theme	Keystone Homes & Land
